seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1750,0,0.840965953358,0.954780047176,3,converged,0.938457564116,1.87397477038,0.975097181461,0.792275943826,2,converged,0,2,0.970997063325,0.728382686731,3,converged,0,0.902600769096,0.977616690317;0.0609694653179;0.669642114549,8,converged,0,0.987500097458,0.61563868794,0.590292786848,0.642072887444,1.08771935173,0,0,2.5
1751,0,0.823992767951,0.966898757111,3,converged,0.946537054788,1.87480635824,0.987500097458,0.792275943826,2,converged,0,2,0.987500097458,0.728382686731,2,converged,0,0.97517602656,1.31213222197;0.669642114549;0.977616690317,7,cycle,2,0.987526320644,0.542688503157,0.458687506073,0.759657870752,1.65615557584,0,1,0.916666666667
1752,0,0.821283765547,0.987526320644,3,converged,0.983400634949,1.87674569278,0.995830427767,0.792275943826,3,converged,0,2,0.991669560278,0.698395104896,3,converged,0,0.946375706646,0.1145483401;0.977616690317;0.669642114549,18,cycle,2,0.995830427767,0.728382686731,0.698395104896,0.826294566715,1.18313338814,1,1,0
1753,0,0.857148534772,0.966827963916,2,converged,0.958630698537,1.87823954412,0.975097036149,0.792275943826,3,converged,0,2,0.970998078715,0.728382686731,2,converged,0,0.816881367303,0.642072887444;0.977616690317;0.0853453388728,7,converged,0,0.975097036149,0.792275943826,0.728382686731,0.792275943826,1.08771935173,1,1,0
1754,0,0.840977485428,0.98340034436,2,converged,0.979274489017,1.87765853458,0.991669560278,0.792275943826,3,converged,0,2,0.987500097458,0.728382686731,2,converged,0,0.926365921364,0.669642114549;0.977616690317;0.0663176672912,21,cycle,5,0.991669608889,0.61563868794,0.590292786848,0.826294566715,1.39980461413,1,1,0.625
1755,0,0.867286640823,0.954837409986,3,converged,0.946977776454,1.87880153692,0.975200619341,0.792275943826,4,converged,0,2,0.979291414734,0.759657870752,3,converged,0,0.780492941134,0.0262992785285;0.977616690317;0.642072887444,25,cycle,9,0.983400150629,0.61563868794,0.520345967845,0.759657870752,1.45990920983,0,1,1
1756,0,0.863371598104,0.975078755062,2,converged,0.970996047863,1.87683225629,0.979204731346,0.792275943826,3,converged,0,2,0.979204731346,0.759657870752,3,converged,0,0.874004663864,0.642072887444;0.898776590449;0.0560525701971,24,cycle,12,0.987526175066,0.590292786848,0.498923276755,0.728382686731,1.45990920983,0,0,1.11111111111
1757,0,0.840893291312,0.987543802513,2,converged,0.975114009083,1.87773793242,0.987508692788,0.792275943826,2,converged,0,2,0.987508692788,0.728382686731,2,converged,0,0.958667925513,0.669642114549;1.31213222197;0.977616690317,3,converged,0,0.991678337862,0.861773876013,0.728382686731,1.06337259264,1.45990920983,1,1,0
1758,0,0.870946858877,0.975167250052,2,converged,0.96700493761,1.87771249412,0.991678337862,0.792275943826,2,converged,0,2,0.991678337862,0.728382686731,2,converged,0,0.918278072982,0.206351099164;0.01;0.642072887444,22,cycle,2,1,0.498923276755,0.478382559817,0.669642114549,1.39980461413,0,0,1.25
1729,1,0.870931709178,0.954567468178,3,converged,0.96684653322,0.746366080508,0.958673132575,0.327679664322,2,converged,0,2,0.958673132575,0.314189062571,2,converged,0,0.86258441389,0.276959189562;0.404335271587;0.0262992785285,6,converged,0,0.96684653322,0.728382686731,0.341749523461,0.937368121758,2.74285129139,0,0,-0.0833333333333
