seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1754,0,0.840977485428234,0.9834003443604121,2,converged,0.9792744890171399,1.877658534581195,0.9916695602776322,0.792275943825575,3,converged,0,2,0.9875000974583775,0.7283826867309402,2,converged,0,0.9263659213643745,0.669642114549;0.977616690317;0.0663176672912,21,cycle,5,0.9916696088891888,0.6156386879399105,0.5902927868477004,0.8262945667146969,1.399804614125984,1,1,0.6249999999999996
1755,0,0.867286640822982,0.9548374099864582,3,converged,0.9469777764539637,1.8788015369151398,0.975200619340752,0.792275943825575,4,converged,0,2,0.9792914147340511,0.7596578707523303,3,converged,0,0.7804929411335811,0.0262992785285;0.977616690317;0.642072887444,25,cycle,9,0.9834001506287179,0.6156386879399105,0.520345967844756,0.7596578707523303,1.459909209825899,0,1,1.0
1756,0,0.8633715981041102,0.9750787550623282,2,converged,0.970996047863032,1.8768322562924864,0.9792047313461062,0.792275943825575,3,converged,0,2,0.9792047313461062,0.7596578707523303,3,converged,0,0.8740046638636906,0.642072887444;0.898776590449;0.0560525701971,24,cycle,12,0.9875261750660476,0.5902927868477004,0.4989232767548629,0.7283826867309402,1.459909209825899,0,0,1.1111111111111118
1757,0,0.840893291312224,0.9875438025130311,2,converged,0.9751140090826159,1.8777379324247596,0.987508692788299,0.792275943825575,2,converged,0,2,0.987508692788299,0.7283826867309402,2,converged,0,0.9586679255131725,0.669642114549;1.31213222197;0.977616690317,3,converged,0,0.9916783378622624,0.861773876012754,0.7283826867309402,1.0633725926362316,1.4599092098258981,1,1,0.0
1758,0,0.8709468588765077,0.9751672500521065,2,converged,0.9670049376100719,1.8777124941224814,0.9916783378622624,0.792275943825575,2,converged,0,2,0.9916783378622624,0.7283826867309402,2,converged,0,0.9182780729819751,0.206351099164;0.01;0.642072887444,22,cycle,2,1.0,0.4989232767548629,0.47838255981657885,0.669642114548647,1.3998046141259848,0,0,1.2499999999999987
1729,1,0.8709317091775314,0.9545674681776901,3,converged,0.9668465332203809,0.7463660805083401,0.958673132575224,0.3276796643221589,2,converged,0,2,0.958673132575224,0.3141890625706187,2,converged,0,0.862584413890365,0.276959189562;0.404335271587;0.0262992785285,6,converged,0,0.9668465332203809,0.7283826867309402,0.3417495234613678,0.9373681217582767,2.7428512913910152,0,0,-0.0833333333333332
1730,1,0.8945090578415492,0.9345756043299684,2,converged,0.9426718892927164,0.7457936350950347,0.9628242090243652,0.3276796643221589,2,converged,0,2,0.9628242090243652,0.3141890625706187,2,converged,0,0.9627739385720712,0.439803299494;0.276959189562;0.404335271587,3,converged,0,0.975176026559507,0.25462375852761865,0.24414087509973725,0.27695918956185034,1.1344236783320534,0,0,2.0
1731,1,0.8669201627704008,0.9426420961687989,3,converged,0.9466515953018515,0.7446265548067289,0.9833655259951481,0.3276796643221589,2,converged,0,2,0.9792485570322557,0.3012538701271144,3,converged,0,0.9630387181813574,0.404335271587;0.276959189562;0.439803299494,3,converged,0,0.9875261750660476,0.371727570114956,0.3141890625706187,0.43980329949426955,1.3998046141259841,1,0,-0.12500000000000053
1732,1,0.8522082517949001,0.9504856476031915,4,converged,0.9545425510539692,0.7458363924284646,0.9751137186476282,0.3276796643221589,2,converged,0,2,0.9751137186476282,0.3012538701271144,2,converged,0,0.8549717183366452,0.404335271587;0.0222284983182;0.276959189562,19,cycle,9,0.9834006349494748,0.25462375852761865,0.23408957294140437,0.2655567543953674,1.1344236783320532,0,0,2.0000000000000036
1733,1,0.8512105064707586,0.9071320017755974,5,converged,0.9188125763267595,0.7435054560347282,0.9628233413053,0.3276796643221589,2,converged,0,2,0.9668886041078587,0.3012538701271144,3,converged,0,0.9063095195955584,0.404335271587;0.0145990920983;0.276959189562,12,converged,0,0.9710241063524229,0.2655567543953674,0.2655567543953674,0.27695918956185034,1.0429378465347061,0,0,2.9999999999999787
1734,1,0.8673457244785817,0.954541490144396,4,converged,0.9668995296678949,0.746804033608445,0.9792743680766341,0.3276796643221589,4,converged,0,2,0.9833566757245249,0.3012538701271144,2,converged,0,0.9792229892159119,0.439803299494;0.276959189562;0.404335271587,2,converged,0,0.9875438025130311,0.3564235120530609,0.3564235120530609,0.371727570114956,1.0429378465347057,0,0,-4.000000000000016
1735,1,0.8437606836614252,0.9263682763463154,3,converged,0.9587728464520415,0.7456996290683271,0.9875000974583775,0.3276796643221589,3,converged,0,2,0.9833655259951481,0.3012538701271144,3,converged,0,0.9667602692089642,0.28885122074;0.404335271587;0.439803299494,3,converged,0,0.9916521995033772,0.3417495234613678,0.3141890625706187,0.3564235120530609,1.1344236783320534,1,0,-0.3333333333333351
1736,1,0.8210572500104641,0.9627382537979655,4,converged,0.9668455659503178,0.744505279082202,0.9751137186476282,0.3276796643221589,2,converged,0,2,0.9792225042603023,0.3012538701271144,3,converged,0,0.878348298675805,0.276959189562;0.01;0.404335271587,21,cycle,4,0.9792225042603023,0.3012538701271144,0.27695918956185034,0.3564235120530609,1.2869170819604259,1,1,0.33333333333333304
1737,1,0.8440063838672728,0.930687740073501,4,converged,0.9386421868752055,0.745705451336927,0.9833914943945573,0.3276796643221589,2,converged,0,2,0.9833914943945573,0.3012538701271144,2,converged,0,0.866839715551702,0.0338449907815;0.276959189562;0.404335271587,6,converged,0,0.9833914943945573,0.2655567543953674,0.25462375852761865,0.3564235120530609,1.3998046141259837,1,1,0.49999999999999967
